,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
63,1,2,0,1,1,2,6,2,1,1,16,19,11,19,11,1,7,10,6,5,0,0,0,1,0,22,2,1,12,11,-3080.0,-2095.0,,-2095.0,,,,,,
64,1,2,0,1,1,2,6,2,1,1,6,9,11,9,11,19,7,10,6,5,11,2,0,10,0,4,2,1,12,11,,,,,,,,,,
65,1,2,0,1,1,2,4,2,1,1,6,9,11,9,11,19,7,10,17,12,11,2,0,10,0,4,2,1,1,4,,,,,,,-48035.0,,,
66,1,2,0,1,4,2,4,1,2,1,6,9,11,9,11,19,7,10,17,12,11,2,0,10,0,4,8,1,1,4,,,,,-1055.0,-6095.0,,-3050.0,-2085.0,-5060.0
67,1,2,3,1,4,2,4,1,2,1,16,11,11,19,1,9,7,0,7,2,1,0,0,0,12,5,8,19,16,15,,,-10055.0,,,,,,,
68,1,2,3,1,4,2,4,1,2,1,16,11,1,19,1,9,7,0,7,2,1,0,0,0,12,5,8,19,16,15,,,,,,,,,,
69,1,2,3,1,4,2,4,1,2,1,16,11,1,19,1,9,4,0,7,2,1,0,0,0,12,5,1,19,16,15,,,,,,,,,,
70,1,1,3,1,4,2,4,1,2,1,16,11,1,19,11,14,4,18,18,14,1,0,0,0,2,0,1,1,5,3,,-2055.0,,-1095.0,,,,,,
71,2,1,3,1,4,2,4,1,2,1,16,1,1,9,11,14,4,18,18,14,1,20,0,4,2,0,1,1,5,3,-1080.0,,,,,,,,,
72,2,1,0,1,2,2,4,1,2,1,6,1,1,9,11,14,4,18,18,14,14,20,0,4,2,0,1,1,5,3,,,-2005.0,,-6055.0,-2070.0,,,-7090.0,
73,2,1,0,1,2,2,4,1,2,3,6,1,1,9,1,4,4,18,8,14,14,20,21,4,20,8,1,1,7,3,,,,,,,,,,-4070.0
74,2,1,0,1,2,2,0,2,2,3,6,18,1,12,1,4,4,18,8,4,14,3,21,1,20,8,1,1,7,11,,,,,,,-4020.0,-1090.0,,
75,2,1,0,1,2,2,0,2,2,3,18,18,1,12,1,4,4,8,12,4,2,3,21,1,20,8,22,11,3,11,,,,,,,,,,
76,2,1,0,1,2,2,0,2,2,3,18,18,12,12,18,12,4,8,12,4,2,3,0,1,3,0,22,11,3,11,,-4090.0,,,,,,,,
77,2,1,0,1,2,2,0,2,2,3,18,8,12,12,18,12,4,8,12,14,2,4,0,1,3,0,22,11,3,1,-4090.0,,,-1060.0,,,,,,
78,2,1,0,1,2,2,0,2,2,0,8,8,12,2,18,12,12,19,12,14,4,4,0,10,3,0,4,0,3,1,,,,,,,,,,-4070.0
79,2,1,0,1,2,2,0,2,2,0,8,11,12,2,18,12,12,19,12,4,4,1,0,10,3,0,4,0,3,12,,,,,,,,,,
80,2,1,0,1,2,2,0,2,2,0,8,11,12,2,18,12,12,19,12,4,4,1,0,10,3,0,4,0,3,12,,,,,,-1060.0,,,,
81,2,1,0,1,1,2,0,2,3,0,11,11,12,10,18,2,12,19,12,4,1,1,0,2,3,18,4,0,3,12,,,,,-5090.0,,,,-5060.0,
82,2,1,3,1,1,2,0,1,3,0,11,11,12,10,8,2,12,19,2,15,1,1,0,2,8,18,4,0,17,1,,,-40060.0,,,,,-2095.0,,
83,2,2,3,4,1,2,0,1,3,0,11,11,2,10,8,2,12,9,2,15,1,1,14,2,8,18,4,10,17,1,,-2055.0,,-3050.0,,,,,,
84,2,2,3,4,1,2,1,1,3,0,11,1,2,0,8,19,12,9,2,15,1,19,14,18,8,1,4,10,17,1,,,,,,,-14060.0,,,
85,2,2,3,4,1,2,1,1,3,1,11,1,2,0,12,19,2,9,18,15,1,19,14,18,4,1,15,10,1,1,-2055.0,,,,,,,,,-1075.0
86,2,2,3,4,1,2,1,1,3,1,1,1,15,0,12,19,2,19,18,5,21,19,1,18,4,1,15,0,1,11,,,,,,,,,,
87,2,2,5,4,1,2,1,1,1,1,1,16,15,18,12,19,2,19,18,5,21,4,1,0,4,1,15,0,1,11,,,-3075.0,,,,,,-4090.0,
88,2,2,5,1,1,2,1,1,1,1,1,16,5,18,12,19,16,19,8,5,21,4,12,0,4,1,1,0,12,11,,,,-4090.0,-5060.0,-3095.0,,,,
89,2,2,5,1,1,2,1,1,1,1,16,16,5,8,2,9,16,19,8,12,6,4,12,14,11,7,1,0,12,4,,,,,,,,,,
90,2,1,5,1,1,2,1,2,1,1,16,16,5,8,2,9,16,19,8,12,6,4,12,14,11,7,1,0,12,4,,-6080.0,,,,,,-1095.0,,
91,2,1,2,1,1,2,1,2,1,1,16,6,17,8,2,9,16,9,17,12,6,13,0,14,11,7,1,5,3,4,,,-4085.0,,,,-1080.0,,,-5060.0
92,1,1,2,1,1,2,1,2,1,1,16,6,7,17,12,15,6,9,17,2,6,13,13,5,1,1,10,5,3,15,-8080.0,,,,,,,,,
93,1,1,2,1,1,2,1,2,1,1,6,6,7,17,12,15,6,9,17,2,17,13,13,5,1,1,10,5,3,15,,,,,,-3075.0,,,,
94,1,1,2,1,1,2,1,2,1,1,6,18,7,17,12,5,6,13,17,2,17,1,13,5,1,16,10,1,3,15,,,,,,,,,,
95,1,1,2,1,4,2,1,2,2,1,6,18,19,17,12,5,15,13,17,14,17,1,1,5,1,16,1,1,3,3,,,,,-2060.0,,,,-4085.0,
96,1,1,2,2,4,2,1,3,2,1,19,18,19,17,2,5,15,13,7,14,4,1,1,5,2,16,1,1,11,3,,,,-6085.0,,,-2075.0,-3065.0,,
97,1,1,2,2,4,2,1,3,2,1,19,18,19,7,2,19,5,3,7,14,4,1,1,12,2,2,5,17,11,3,,-2090.0,,,,,,,,
98,1,1,1,2,4,2,1,3,2,1,19,8,19,7,2,19,5,3,7,14,4,4,1,12,2,2,5,17,11,3,,,-3095.0,,,,,,,-3070.0
99,1,1,1,2,4,2,1,3,2,1,19,8,9,7,4,19,5,3,16,4,4,4,9,12,0,2,5,17,2,14,,,,,,,,,,
100,4,1,1,2,1,2,1,3,2,1,19,8,9,18,4,19,10,19,16,4,4,4,9,1,0,2,0,1,2,14,-5095.0,,,,-4020.0,-3095.0,,,,
101,4,1,1,3,1,2,1,3,2,1,9,12,9,18,4,9,10,19,16,4,5,0,9,1,16,10,0,1,2,14,,,,-3090.0,,,,,,
102,4,1,1,3,1,2,1,1,2,1,9,12,18,8,4,9,10,19,16,17,5,0,0,9,16,10,0,1,2,1,,,,,,,,-4095.0,-4080.0,
103,4,1,1,3,1,2,1,1,2,1,9,12,18,8,4,9,10,9,6,17,5,0,0,9,16,10,0,6,10,1,,-60.0,,,,,,,,
104,6,1,1,3,1,2,1,1,2,2,14,2,18,8,10,19,10,9,6,17,0,11,0,9,0,0,0,6,10,1,-4070.0,,,,,,,,,-2085.0
105,6,1,2,3,1,2,2,1,2,2,4,2,18,16,10,19,10,9,6,7,2,11,0,1,0,0,0,6,10,6,,,-90.0,,,,-50.0,,,
106,6,1,2,3,1,2,2,1,2,2,4,2,8,16,10,19,0,15,16,7,2,11,9,1,0,0,1,0,0,6,,,,,,,,,,
107,6,1,2,6,1,1,2,1,2,2,4,11,8,16,10,19,0,15,16,7,2,2,9,1,0,0,1,0,0,6,,,,-4080.0,,-1095.0,,,,
108,6,1,2,6,1,1,2,1,2,2,4,11,8,6,10,9,0,15,16,12,2,2,9,3,0,2,1,0,0,1,,,,,,,,,,
109,6,1,2,6,3,1,2,2,2,2,4,11,17,6,10,9,0,15,16,12,2,2,0,3,0,2,1,0,0,1,,,,,-21050.0,,,-1075.0,,
110,0,0,1,6,3,1,3,2,2,1,4,11,17,6,0,9,0,5,16,12,2,2,0,3,16,2,1,13,0,1,-7020.0,-3055.0,-2085.0,,,,-2000.0,,-2080.0,-3060.0
111,0,0,1,6,3,1,3,2,2,1,4,1,7,9,0,10,0,5,6,2,25,14,7,0,16,1,28,13,11,13,,,,,,,,,,
112,0,0,1,6,3,1,3,2,2,1,4,1,7,9,0,10,0,5,6,2,25,14,7,0,16,1,28,13,11,13,,,,,,,,,,
113,0,0,1,6,3,2,3,2,2,1,4,1,7,9,16,10,0,18,6,2,25,14,7,0,0,1,28,0,11,13,,,,-5045.0,,-2050.0,,,,
114,0,0,1,6,3,2,3,2,2,1,19,11,14,9,16,0,16,18,17,14,0,4,0,11,0,16,2,0,0,1,,,,,,,,,,
115,0,0,1,6,2,2,3,2,2,1,19,11,14,9,16,0,16,18,17,14,0,4,0,11,0,16,2,0,0,1,,,,,-2080.0,,,-2090.0,,
116,0,0,1,6,2,2,3,2,2,1,19,11,14,9,6,0,16,8,17,14,0,4,0,11,8,16,2,12,0,1,,,,,,,,,,
117,0,0,1,6,2,2,1,2,2,1,19,11,14,10,6,16,16,8,17,14,0,4,0,0,8,0,2,12,0,1,,,,,,,-45080.0,,-1085.0,
118,0,0,3,6,2,2,1,2,2,1,19,11,14,10,6,16,6,8,7,14,0,4,0,0,8,0,11,12,4,1,,-4055.0,-1070.0,-6050.0,,,,,,-2070.0
119,2,0,3,6,2,2,1,2,2,1,19,1,4,0,14,16,6,18,7,4,0,10,12,13,0,0,11,2,4,12,-95.0,,,,,,,,,
120,2,0,3,6,2,2,1,2,2,1,9,1,4,0,14,16,6,18,7,4,6,10,12,13,0,0,11,2,4,12,,,,,,,,,,
121,2,0,3,6,2,2,1,2,2,1,9,1,4,0,14,16,17,18,11,4,6,10,12,13,0,0,0,2,0,12,,,,,,,,,,
122,2,0,3,6,2,2,1,1,2,1,9,10,15,10,14,16,17,18,11,15,6,1,1,3,0,0,0,2,0,1,,,,,,-2080.0,,-4090.0,,
123,2,0,3,6,2,2,1,1,2,1,14,10,15,10,14,6,17,8,11,15,1,1,1,3,0,7,0,4,0,1,,,,,-2070.0,,,,-2055.0,
124,2,0,5,6,2,2,1,1,2,1,14,10,15,10,4,6,17,8,1,15,1,1,1,3,11,7,0,4,19,1,,,-3075.0,-9050.0,,,,,,
125,3,0,5,6,2,2,1,1,2,1,14,10,5,0,4,6,17,8,1,15,1,1,12,6,11,7,0,4,19,1,-3070.0,,,,,,,,,
126,3,3,5,6,2,2,1,1,2,3,4,10,5,0,4,12,17,11,1,15,12,1,12,6,11,1,0,1,19,1,,-1050.0,,,,,,,,-2075.0
127,3,3,5,6,2,2,1,1,2,3,4,0,5,0,15,12,17,11,19,5,12,12,12,6,0,1,0,1,1,14,,,,,,,-85.0,,,
128,3,3,5,6,2,2,1,1,2,3,4,0,17,6,15,12,7,11,19,5,12,12,0,0,0,1,8,1,1,14,,,,,,-2060.0,,,,
129,3,3,5,6,1,2,1,4,2,3,16,0,17,6,15,2,7,11,19,5,0,12,0,0,0,10,8,1,1,14,,,-5085.0,,-2075.0,,,-2055.0,,
130,3,1,5,6,1,2,1,4,2,3,16,12,7,6,5,2,7,1,19,19,0,0,5,0,13,10,8,9,1,0,,-3060.0,,,,,,,,
131,3,1,5,2,1,2,1,4,3,3,16,2,7,6,5,2,15,1,19,19,0,16,5,0,13,10,0,9,1,0,,,,-5030.0,,,,,-3095.0,-2095.0
132,2,1,5,2,1,2,4,4,3,3,16,2,7,6,5,11,15,1,9,9,0,16,5,25,13,1,0,9,7,4,-2080.0,,,,,,-1075.0,,,
133,2,1,5,2,1,2,4,4,3,3,6,2,12,6,18,11,5,10,9,9,14,16,0,25,0,1,6,0,7,4,,,,,,,,,,
134,2,1,5,2,1,1,4,4,3,3,6,18,12,6,18,11,5,10,9,9,14,0,0,25,0,1,6,0,7,4,,,,,,-2055.0,,,,
135,2,1,1,2,1,1,4,2,3,3,6,18,12,16,18,1,5,10,15,11,14,0,0,5,0,11,6,0,1,2,,,-4060.0,,,,,-4050.0,,
136,2,1,1,2,1,1,4,2,4,3,19,18,2,16,18,1,11,0,15,11,1,0,16,5,0,11,0,22,1,2,,,,,,,,,-3075.0,
137,2,1,1,2,1,1,4,2,4,3,19,18,2,16,18,1,11,0,5,11,1,0,16,5,0,11,0,22,3,2,,,,,,,,,,
138,2,1,1,2,2,1,3,2,4,1,19,18,2,16,18,10,11,0,5,11,1,0,16,5,0,2,0,22,3,2,,,,,-90.0,,-3055.0,,,-5055.0
139,2,1,1,2,2,1,3,2,4,1,19,18,18,16,8,10,1,19,5,1,1,0,0,5,16,2,13,3,3,20,-2095.0,,,,,,,,,
140,2,0,1,2,2,1,3,2,4,1,9,18,18,16,8,10,1,19,8,1,6,0,0,5,16,2,13,3,0,20,,-1090.0,,-7080.0,,,,,,
141,2,0,1,2,2,1,3,2,4,1,9,8,18,6,8,10,1,19,8,1,6,7,0,13,16,2,13,3,0,20,,,,,,-3050.0,,,,
142,2,0,1,2,2,1,3,3,12,1,9,8,18,6,19,0,12,19,8,18,6,7,0,13,5,13,2,3,0,3,,,,,,,,-5095.0,-4040.0,
143,2,0,2,2,2,1,3,3,12,1,14,8,18,6,19,0,12,9,8,18,1,7,0,13,5,13,2,9,7,3,,,-90.0,,,,,,,
144,2,0,2,2,2,1,3,3,12,1,14,14,8,18,19,0,12,9,8,18,1,1,9,1,5,13,2,9,7,3,,,,,-7095.0,,,,,
145,3,0,2,2,2,1,3,3,12,1,14,14,8,18,9,12,12,9,8,18,1,1,9,1,8,1,2,9,7,3,-3070.0,,,,,,,,,
146,3,0,2,2,2,1,1,3,16,2,4,14,8,18,9,12,12,18,5,18,12,1,9,1,8,1,2,0,0,3,,,,,,,-5060.0,,-8025.0,-4090.0
147,3,1,2,2,2,1,1,3,16,2,4,14,17,18,9,12,2,18,5,8,12,1,0,1,8,1,17,0,15,5,,-1070.0,,,,,,,,
148,3,1,2,1,2,1,1,1,16,2,4,4,17,18,17,12,2,18,5,8,12,15,0,1,0,1,17,0,15,5,,,,-2090.0,,,,-3090.0,,
149,3,1,1,1,2,2,1,1,16,2,16,4,17,8,17,12,2,8,5,10,0,15,0,7,0,1,17,8,15,3,,,-2085.0,,,-1060.0,,,,
150,3,1,1,1,2,2,1,1,9,2,16,4,7,8,17,2,19,8,10,10,0,15,7,7,0,14,0,8,0,3,,,,,,,,,-11050.0,
151,3,1,1,1,2,2,1,1,9,2,16,18,7,8,17,2,19,8,0,10,0,1,7,7,0,14,0,8,24,3,,,,,,,,,,
152,1,1,1,1,1,2,1,1,9,6,16,18,7,14,17,2,19,14,0,10,0,1,7,1,0,14,0,2,24,3,-3080.0,,,,-2085.0,,,,,-5050.0
153,1,1,1,1,1,2,2,1,9,6,6,18,14,14,7,16,19,14,0,0,11,1,0,1,12,0,0,2,24,3,,-2090.0,,,,,-1095.0,,,
154,1,1,1,1,1,2,2,1,9,6,6,8,14,14,7,16,9,14,15,0,11,4,0,1,12,0,6,2,9,3,,,,,,-2080.0,,,,
155,1,1,1,1,1,2,2,2,9,6,6,8,14,14,7,6,9,14,15,2,11,4,0,1,12,7,6,2,9,1,,,,,,,,-3070.0,,
156,1,1,1,1,1,2,2,2,9,8,16,8,14,14,18,6,9,4,15,2,1,4,0,1,1,7,6,9,9,1,,,,,,,,,,-7010.0
